key,dataset,kind,task,family,H,phase,observer,loss,error,decoded,target,scale
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.0,hard,0.004852059746931758,,"[0.2188183807439825, 0.26258205689277897, 0.25601750547045954, 0.26258205689277897]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.0,soft,0.015582464414815297,,"[0.2110030111312169, 0.2560741467090165, 0.25647081252756004, 0.27645202963220666]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.25,hard,0.004789182082824653,,"[0.2159827213822894, 0.2591792656587473, 0.2591792656587473, 0.265658747300216]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.25,soft,0.021826196332615094,,"[0.21020647307163168, 0.2547461856073032, 0.2523515797710587, 0.2826957615500064]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.5,hard,0.02014652868781741,,"[0.20497693875362008, 0.26150380778719295, 0.2531374021237799, 0.28038185133540705]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.5,soft,0.025092225287127887,,"[0.20193737250567506, 0.25741829938384597, 0.25468253760595977, 0.2859617905045192]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.75,hard,0.004630542797298687,,"[0.21602937999567942, 0.26550010801469, 0.2592352559948153, 0.2592352559948153]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,0.75,soft,0.018661095624360413,,"[0.2102210082900909, 0.25787930165661893, 0.2523690292115384, 0.2795306608417517]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,0.0,hard,0.0017046951657277432,,"[0.21633093701695413, 0.2602252373825355, 0.261672841475084, 0.2617709841254263]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,0.0,soft,0.004626531432586803,,"[0.214829564641408, 0.25942514988859217, 0.26024918882002174, 0.26549609664997814]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,0.25,hard,0.00381977898630749,,"[0.2143120076566296, 0.2601290829222803, 0.2616996736116224, 0.26385923580946774]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,0.25,soft,0.006788747474321732,,"[0.21298604016740083, 0.25929598149658056, 0.26005966564430555, 0.26765831269171303]","[0.21739130434782608, 0.2608695652173913, 0.2608695652173913, 0.2608695652173913]",1.0
